source_dataset_id,source_file_name,source_layer,osm_id,code,fclass,population,name,name_search,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,pbf_enriched_workspace_id,route_aware_workspace_id,source_gis_modified
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90607664,1003,village,488,מעלה גמלא,מעלה גמלא  90607664,35.6784827,32.8825973,35.6895383,32.8933098,safe_access_pilot_90607664_pbf_enriched_v001,safe_access_pilot_90607664_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90644778,1003,village,0,רקפת,רקפת  90644778,35.2602374,32.8519032,35.2682681,32.8583827,safe_access_pilot_90644778_pbf_enriched_v001,safe_access_pilot_90644778_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90645812,1003,village,0,מעברות,מעברות  90645812,34.9023304,32.3593549,34.9075126,32.3676702,safe_access_pilot_90645812_pbf_enriched_v001,safe_access_pilot_90645812_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90646409,1003,village,0,משמר השרון,משמר השרון  90646409,34.9005523,32.3534732,34.9086767,32.3608079,safe_access_pilot_90646409_pbf_enriched_v001,safe_access_pilot_90646409_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90647172,1003,village,0,כפר חיים,כפר חיים  90647172,34.8954231,32.3508891,34.9043924,32.3571971,safe_access_pilot_90647172_pbf_enriched_v001,safe_access_pilot_90647172_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90830123,1003,village,0,עין הוד,עין הוד  90830123,34.9786401,32.6955970,34.9873432,32.7025350,safe_access_pilot_90830123_pbf_enriched_v001,safe_access_pilot_90830123_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90830157,1003,village,0,ימין אורד,ימין אורד  90830157,34.9849583,32.6995728,34.9932562,32.7045979,safe_access_pilot_90830157_pbf_enriched_v001,safe_access_pilot_90830157_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90969779,1003,village,0,יעד,יעד  90969779,35.2378023,32.8747830,35.2479675,32.8840817,safe_access_pilot_90969779_pbf_enriched_v001,safe_access_pilot_90969779_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90998117,1002,town,64120,הוד השרון,הוד השרון  90998117,34.8711452,32.1286479,34.9257269,32.1716710,safe_access_pilot_90998117_pbf_enriched_v001,safe_access_pilot_90998117_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,91039154,1003,village,0,"גבעת ח""ן","גבעת ח""ן  91039154",34.8681464,32.1624032,34.8802717,32.1717174,safe_access_pilot_91039154_pbf_enriched_v001,safe_access_pilot_91039154_route_aware_v001,False
